"Cikkszám";"Termék Név";"Nettó Ár";"Bruttó Ár"
"MTD734-1911A";"Fűnyíró kerék MTD TC 51  D180";"1496.062992125984";"1900"
"KRDEFGP010418";"Gömbcsukló 7/16-20 MTD 7230448A - utángyártott";"2984.251968503937";"3790"
"451791";"AL-KO 160 FLA NEW COVER";"68968.50393700787";"87590"
"441223";"AL-KO PRO 125 LC1P61FE 125";"51685.03937007874";"65640"
"474316";"AL-KO PRO 140QSS  LC1P61 FA 4PS R3000";"74370.07874015748";"94450"
"474317";"AL-KO PRO 160QSS LC1 P65 FA  5 PS R3000";"80393.70078740157";"102100"
"440944";"BENZIN MOTOR LC1 P65 FA  5 PS E-START";"88275.5905511811";"112110"
"457877";"Benzinmotor AL-KO PRO 125 Autamata szivatós LC1P65FE-3 125 QSS";"102905.5118110236";"130690"
"457846";"Benzinmotor PRO 145 (LC1P65 QSS) automata szivatós";"110779.5275590551";"140690"
"SL280032925";"Gázrudazat";"2984.251968503937";"3790"
"SL280028525";"Gázrudazat  644, 651";"2039.370078740157";"2590"
"SL2061443";"Karburátor tömítés 0,5";"622.0472440944882";"790"
"416976";"Porlasztó";"18181.10236220473";"23090"
"411254";"Porlasztó AL-KO BKS 35/35 II, 40/40 II - Már nem szállítható!";"18480.31496062992";"23470"
"414510";"PORLASZTÓ BKS 3835/4040 - WALBRO";"18889.76377952756";"23990"
"414429";"Porlasztó BKS 4540";"22118.11023622047";"28090"
"410695";"Porlasztó BKS I";"16031.49606299213";"20360"
"SL2300870";"Porlasztó HDA-277 D-CUT";"38259.84251968504";"48590"
"SL230090010";"Porlasztó HDA-309 D-CUT M.KOMPEN - már nem szállítható!";"20779.52755905512";"26390"
"SL0510952";"Porlasztó javító klt. 651C - gyári";"14401.57480314961";"18290"
"SL0510794";"Porlasztó javító klt. WALBRO 665/675/681";"2976.377952755905";"3780"
"SL230085110";"Porlasztó WT-839D D-CUT";"19362.20472440945";"24590"
"414428";"Szigetelőtest porlasztóhoz BKS 4540";"1724.409448818898";"2190"
"SL6063322";"Szívócső";"3062.992125984252";"3890"
"410696";"Szívócső tömítés BKS I";"417.3228346456693";"530"
"411199";"Szívócsonk BKS II";"1251.968503937008";"1590"
"SL2061477";"Szívócsonk tömítés 0,5 D.  639,645,650";"622.0472440944882";"790"
"414533";"Szívócsonk tömítés BKS 3835/4040";"937.007874015748";"1190"
"410704";"Szívócsonk tömítés BKS I";"464.5669291338583";"590"
"SL2061445";"Szívótorok tömítés 1,0";"779.5275590551181";"990"
"GPPL1301010";"Regulátor rugó B&S  698726 - utángyártott (SPRINT-QUATTRO)";"307.0866141732283";"390"
"GPPL1301001";"Regulátor rugó B&S 260875 SPRINT - utángyártott";"228.3464566929134";"290"
"GPPL1301004";"Regulátor rugó B&S 691833 - utángyártott QUANTUM";"385.8267716535433";"490"
"GPPL1301011";"Regulátor rugó B&S 692205 - utángyártott QUANTUM";"700.7874015748031";"890"
"GPPL1301003";"Szabályozó rugó B&S 262656 Quantum - utángyártott";"385.8267716535433";"490"
"GPPL1301002";"Szabályozó rugó B&S 262759 Sprint - utángyártott";"307.0866141732283";"390"
"GPPL1301007";"Szabályozó rugó B&S 691859 - Utángyártott";"464.5669291338583";"590"
"GPPL0825001";"Berántó kpl. MTD THORX - utángyártott";"2196.850393700787";"2790"
"GPPL0802004";"BERÁNTÓ FÉM LAPOS KÖRMÖKKEL HONDA GX340, GX390 - utángyártott";"3220.472440944882";"4090"
"GPPL0802008";"Indítószerkezet HONDA GCV 135/160/190 - utángyártott";"1803.149606299213";"2290"
"GPPL0802037";"Indítószerkezet HONDA GCV 145, 170, 200 (28400-Z9L-004) - utángyártott";"4637.795275590551";"5890"
"GPPL0802025";"Indítószerkezet HONDA GCV 190  28400-Z1A-013ZA - utángyártott";"2905.511811023622";"3690"
"GPPL0802011";"Indítószerkezet HONDA GX110-GX160 28400-ZH8-013YA - utángyártott";"1960.629921259843";"2490"
"LEVGP1025";"Indítószerkezet HONDA GX110-GX160 28400-ZH8-013ZA - utángyártott";"2590.551181102362";"3290"
"GPPL0802010";"Indítószerkezet HONDA GX110-GX160 28400-ZH8-023ZB - utángyártott";"1881.889763779528";"2390"
"LEVGP1026";"Indítószerkezet HONDA GX240-GX270 28400-ZE2-Q01ZN - utángyártott";"4645.669291338582";"5900"
"413802";"Csatlakozó kábel 230 V";"4559.055118110236";"5790"
"406189";"Kapcsoló  (KE 3500)";"11094.48818897638";"14090"
"460687";"Kapcsoló KE";"7472.44094488189";"9490"
"413645";"Lágyindítás elektronika EKS";"12039.37007874016";"15290"
"413706";"Lánckerék EKS";"3299.212598425197";"4190"
"413562";"Mikrokapcsoló";"5110.23622047244";"6490"
"413584";"Mikrokapcsoló";"1409.448818897638";"1790"
"413644";"Mikrokapcsoló EKS";"1330.708661417323";"1690"
"SL6074183";"Olajpumpa meghajtócsiga fogaskerekes 18 fog SOLO 614";"4039.370078740158";"5130"
"SL2300469";"Stopkapcsoló KSS5 DEFOND";"2165.354330708662";"2750"
"SL06100227190832";"Szénkefe";"2511.811023622047";"3190"
"406205";"Szénkefe (KE3500)";"6842.51968503937";"8690"
"409964";"Szénkefe + tartó KE1600/40";"5818.897637795276";"7390"
"413595";"Szénkefe garnitúra EKI 2200/40";"5031.496062992126";"6390"
"413803";"Szénkefe garnitúra EKS 2000/35";"3220.472440944882";"4090"
"413677";"Szénkefe garnitúra EKS 2400/40 (S)";"3456.692913385827";"4390"
"411664";"Szénkefe KE 2000/35 - 2200/40S";"6291.338582677166";"7990"
"413801";"Túlterhelésvédelem";"9125.984251968504";"11590"
"66082";"CHAMPION J19LM 24DB-OS GYŰJTŐCSOMAGOLÁS";"15740.15748031496";"19990"
"16098";"CHAMPION RCJ7Y 24DB-OS GYŰJTŐCSOMAGOLÁS";"15740.15748031496";"19990"
"KRDEZ9Y";"Gyújtógertya Champion Z9Y (NKG C7HSA megfelelője)";"1291.338582677165";"1640"
"KRDECJ6";"Gyújtógyertya - CHAMPION CJ6 (RCJ6)";"1110.236220472441";"1410"
"KRDECJ7Y";"Gyújtógyertya - CHAMPION CJ7Y (RCJ7Y)";"1039.370078740157";"1320"
"GPPL1106022";"Gyújtógyertya - CHAMPION DJ8J";"1094.488188976378";"1390"
"GPPL1106017";"Gyújtógyertya - CHAMPION J19LM";"779.5275590551181";"990"
"KRDEJ19LM";"Gyújtógyertya - CHAMPION J19LM (RJ19LM)";"1015.748";"1290"
"GPPL1106018";"Gyújtógyertya - CHAMPION J19LM - 24db-os gyűjtőcsomagolás";"17393.70078740158";"22090"
"KRDEL86C";"Gyújtógyertya - CHAMPION L86C";"1094.488188976378";"1390"
"GPPL1106021";"Gyújtógyertya - CHAMPION N9YC / RN9YC";"779.5276";"990"
"GPPL1106019";"Gyújtógyertya - CHAMPION RC12YC";"937.0079";"1190"
"GPPL1106020";"Gyújtógyertya - CHAMPION RC12YC - 24db-os gyűjtőcsomagolás";"17393.70078740158";"22090"
"KRDECJ8";"Gyújtógyertya - CHAMPION RCJ8 (CJ8)";"937.0079";"1190"
"KRDERDJ7Y";"Gyújtógyertya - CHAMPION RDJ7Y";"1015.748031496063";"1290"
"GPPL1106028";"Gyújtógyertya - CHAMPION RDJ8J";"1173.228346456693";"1490"
"037551004553";"Gyújtógyertya - CHAMPION RDZ19H";"1559.055118110236";"1980"
"GPPL1106027";"Gyújtógyertya - CHAMPION RJ19LM - 24db-os gyűjtőcsomagolás";"13929.13385826772";"17690"
"KRDERZ7C";"Gyújtógyertya - CHAMPION RZ7C";"1409.448818897638";"1790"
"411282";"Burkolati elem BC 4125II";"1330.708661417323";"1690"
"SL2074180";"FEDÉL 142,154";"4606.299212598426";"5850"
"414998";"Fedél BC 225";"8338.582677165354";"10590"
"411738";"Fedél BC 4535 II";"1645.669291338583";"2090"
"SL207423725";"Gyújtógyertya fedél";"1724.409448818898";"2190"
"SL207316125";"Kipufogó fedél SOLO 133,142,154,155";"6448.818897637795";"8190"
"SL2100933";"Kipufogó védőrács";"9283.464566929133";"11790"
"411279";"Motor burkolat";"4007.874015748032";"5090"
"418614";"Motorburkolat BC 223L/B";"3692.913385826771";"4690"
"474605";"Motorburkolat BC 410II/BC4125II";"4559.055118110236";"5790"
"417746";"Motorburkolat BC 500";"4952.755905511811";"6290"
"463479";"Motorház baloldali BC 4535";"2039.370078740157";"2590"
"GPPL0306006";"1 L TARTÁLY ÜZEMANYAG KEVERÉKHEZ";"1173.228346456693";"1490"
"GPPL0306025";"225 DB-OS O-GYŰRŰ GARNITÚRA";"4480.314960629921";"5690"
"GPPL0306007";"5L ÜZEMANYAG KANNA";"1566.929133858268";"1990"
"GPPL1806014";"ACÉL BOWDEN UNIVERZÁLIS 2,5M KIS KALAPÁCS VÉGGEL - T - utángyártott";"307.0866141732283";"390"
"GPPL1806013";"ACÉL BOWDEN UNIVERZÁLIS 2,5M NAGY KALAPÁCS VÉGGEL - T - utángyártott";"307.0866141732283";"390"
"GPPL2406013";"ÁGAPRÍTÓ VÁGÓTÁRCSA UNIVERZÁLIS 3 FOG NYÍLÁS ÁTMÉRŐ 20MM SZÉLESSÉG 305MM EVEREST - utángyártott";"3377.952755905512";"4290"
"GPPL2406014";"ÁGAPRÍTÓ VÁGÓTÁRCSA UNIVERZÁLIS 3 FOG NYÍLÁS ÁTMÉRŐ 25,4MM SZÉLESSÉG 305MM EVEREST - utángyártott";"3377.952755905512";"4290"
"GPPL2205015";"AKASZTÓ BALOLDALI DECK HUSQVARNA CRAFTSMAN - utángyártott";"5188.976377952756";"6590"
"GPPL2205016";"AKASZTÓ JOBBOLDALI DECK HUSQVARNA CRAFTSMAN - utángyártott";"5188.976377952756";"6590"
"GPPL593560";"AKKUMULÁTOR BRIGGS&STRATTON INSTART - gyári";"37708.66141732284";"47890"
"GPPL2106003";"AKKUMULÁTOR SAVAS 12V 24AH BAL PLUSZ - utángyártott";"20779.52755905512";"26390"
"GPPL2106004";"AKKUMULÁTOR SAVAS 12V 24AH JOBB PLUSZ - utángyártott";"20779.52755905512";"26390"
"GPPL2106001";"AKKUMULÁTOR ZSELÉS (AGM) 12V 14AH BAL PLUSZ - utángyártott";"19598.42519685039";"24890"
"GPPL2106008";"AKKUMULÁTOR ZSELÉS (AGM) 12V 28AH BAL PLUSZ - utángyártott";"19598.42519685039";"24890"
"GPPL2106009";"AKKUMULÁTOR ZSELÉS (AGM) 12V 28AH JOBB PLUSZ - utángyártott";"19598.42519685039";"24890"
"GPPL3299012";"ANTI VIBRÁCIÓS BUMPER HONDA GX160 GX200 GENERÁTOROK - utángyártott";"937.007874015748";"1190"
"GPPL0206007";"ARCVÉDŐ PAJZS, DRÓTHÁLÓS";"2511.811023622047";"3190"
"GPPL0206012";"ARCVÉDŐ PAJZS, DRÓTHÁLÓS ECO";"1488.188976377953";"1890"
"GPPL0206005";"ARCVÉDŐ PAJZS, PLEXI";"2039.370078740157";"2590"
"GPPL0206011";"ARCVÉDŐ PAJZS, PLEXI ECO";"1173.228346456693";"1490"
"GPPL0206006";"ARCVÉDŐ PAJZS, PLEXI HALLÁSVÉDŐVEL";"3614.173228346457";"4590"
"GPPL1402002";"BEGYŰJTŐKÉS BENZINMOTOROS FŰNYÍRÓHOZ HONDA HRX IZY 53CM - utángyártott";"2905.511811023622";"3690"
"GPPL1445001";"BEGYŰJTŐKÉS BENZINMOTOROS FŰNYÍRÓHOZ JOHN DEERE SABO 52CM - utángyártott";"2984.251968503937";"3790"
"GPPL1425007";"BEGYŰJTŐKÉS MTD TRAKTOR OLDAL KIVETÉS 49CM DECK F 38 "" 96CM - utángyártott";"3456.692913385827";"4390"
"GPPL1425009";"BEGYŰJTŐKÉS MTD TRAKTOR OLDAL KIVETÉS 54CM DECK G 42 "" 107CM - utángyártott";"4165.354330708661";"5290"
"GPPL0801024";"BERÁNTÓ BRIGGS&STRATTON 5KM INDUSTRIAL PLUS - utángyártott";"3377.952755905512";"4290"
"GPPL0828002";"BERÁNTÓ FÉM BERÁNTÓ KÖRMÖK EH12 - utángyártott";"2905.511811023622";"3690"
"GPPL0802023";"BERÁNTÓ FÉM BERÁNTÓ KÖRMÖK HONDA G100 - utángyártott";"6370.07874015748";"8090"
"GPPL0802022";"BERÁNTÓ FÉM BERÁNTÓ KÖRMÖK HONDA GX100 - utángyártott";"2905.511811023622";"3690"
"GPPL0828001";"BERÁNTÓ FÉM BERÁNTÓ KÖRMÖK ROBIN EY20 - utángyártott";"2669.291338582677";"3390"
"GPPL0802006";"BERÁNTÓ FÉM LAPOS KÖRMÖKKEL HONDA GX240, GX270 - utángyártott";"2669.291338582677";"3390"
"GPPL0811002";"BERÁNTÓ FŰNYÍRÓ CASTELGARDEN STIGA GGP SV150 - utángyártott";"4007.874015748032";"5090"
"GPPL0811001";"BERÁNTÓ FŰNYÍRÓ CASTELGARDEN STIGA GGP SV200 MOUNTFIELD SP554 - utángyártott";"3614.173228346457";"4590"
"GPPL0812036";"BERÁNTÓ FŰNYÍRÓ DAYE DG350";"4007.874015748032";"5090"
"GPPL0812007";"BERÁNTÓ GENERÁTOROK - utángyártott";"1881.889763779528";"2390"
"GPPL0802028";"BERÁNTÓ HARANG FÉM GÖMBÖLYŰ KÖRMÖK HONDA GX1600,GX200 - utángyártott";"385.8267716535433";"490"
"GPPL0802029";"BERÁNTÓ HARANG FÉM GÖMBÖLYŰ KÖRMÖK HONDA GX240 GX270 - utángyártott";"464.5669291338583";"590"
"GPPL0802026";"BERÁNTÓ HARANG FÉM GÖMBÖLYŰ KÖRMÖK HONDA GX240,GX270 - utángyártott";"543.3070866141733";"690"
"GPPL0802027";"BERÁNTÓ HARANG FÉM GÖMBÖLYŰ KÖRMÖK HONDA GX340 GX390 - utángyártott";"700.7874015748031";"890"
"GPPL0802030";"BERÁNTÓ HARANG FÉM GÖMBÖLYŰ KÖRMÖK HONDA GX340 GX390 - utángyártott";"543.3070866141733";"690"
"GPPL0812041";"BERÁNTÓ HARANG FÉM GÖMBÖLYŰ KÖRMÖK KÍNAI FŰNYÍRÓ";"937.007874015748";"1190"
"GPPL0812010";"BERÁNTÓ HARANG KÍNAI LÁNCFŰRÉSZ 26CC 32CC";"149.6062992125984";"190"
"GPPL0899003";"BERÁNTÓ HATZ 1B20, 1B30, 1B40 - utángyártott";"14952.75590551181";"18990"
"GPPL0805014";"BERÁNTÓ HUSQVARNA 135, 140, 435, 435E, 440, 440E FARMERTEC - utángyártott";"3456.692913385827";"4390"
"GPPL0805021";"BERÁNTÓ HUSQVARNA 136, 136LE, 137, 137E, 141, 141LE, 142, 142E - utángyártott";"2196.850393700787";"2790"
"GPPL0805024";"BERÁNTÓ HUSQVARNA 230, 235, 235E, 236, 236E, 240, 240E FARMERTEC - utángyártott";"2748.031496062992";"3490"
"GPPL0805001";"BERÁNTÓ HUSQVARNA 340, 340E, 345, 345E, 346XP, 350, 351, 353 - utángyártott";"3929.133858267716";"4990"
"GPPL0805002";"BERÁNTÓ HUSQVARNA 362, 365, 371, 372 - utángyártott";"2984.251968503937";"3790"
"GPPL0805027";"BERÁNTÓ HUSQVARNA 445, 445E, 445 II, 450, 450E, 450 II - utángyártott";"2748.031496062992";"3490"
"GPPL0805012";"BERÁNTÓ HUSQVARNA 51, 55 - utángyártott";"4007.874015748032";"5090"
"GPPL0805034";"BERÁNTÓ HUSQVARNA 545, 550XP/XPG - utángyártott";"5188.976377952756";"6590"
"GPPL281505S";"BERÁNTÓ INDITÓKÖRÖM MŰANYAG BRIGGS&STRATTON - gyári";"1251.968503937008";"1590"
"GPPL0899002";"BERÁNTÓ JAVÍTÓ KOMPLETT HATZ 1B20, 1B30, 1B40 - utángyártott";"6212.59842519685";"7890"
"GPPL0801022";"BERÁNTÓ KAR BRIGGS&STRATTON 799716, 795426 - utángyártott";"464.5669291338583";"590"
"GPPL0802019";"BERÁNTÓ KAR HONDA - utángyártott";"307.0866141732283";"390"
"GPPL0806010";"BERÁNTÓ KAR HUSQVARNA - utángyártott";"228.3464566929134";"290"
"GPPL0806009";"BERÁNTÓ KAR KÖTÉLLEL UNIVERZÁLIS 3,5MMX1400MM - utángyártott";"464.5669291338583";"590"
"GPPL0806020";"BERÁNTÓ KAR LÁNCFŰRÉSZ KÍNAI";"228.3464566929134";"290"
"GPPL0806011";"BERÁNTÓ KAR TECUMSEH - utángyártott";"385.8267716535433";"490"
"GPPL0806018";"BERÁNTÓ KAR UNIVERZÁLIS - utángyártott";"307.0866141732283";"390"
"GPPL0806008";"BERÁNTÓ KAR UNIVERZÁLIS LÁNCFŰRÉSZ, FŰKASZA - utángyártott";"464.5669291338583";"590"
"GPPL0812040";"BERÁNTÓ KÍNAI FŰNYÍRÓ 99CC 1P56F";"2275.590551181102";"2890"
"GPPL0812018";"BERÁNTÓ KÍNAI FŰNYÍRÓ GO/ON";"2905.511811023622";"3690"
"GPPL0812034";"BERÁNTÓ KÍNAI FŰNYÍRÓ K 4-SUW GX35";"1488.188976377953";"1890"
"GPPL0812015";"BERÁNTÓ KÍNAI FŰNYÍRÓ K 43CC 52C DRÓT";"779.5275590551181";"990"
"GPPL0812037";"BERÁNTÓ KÍNAI FŰNYÍRÓ K HARDER, NAC WLBC580E";"1724.409448818898";"2190"
"GPPL0812022";"BERÁNTÓ KÍNAI FŰNYÍRÓ NAC DY 164 PMB";"2196.850393700787";"2790"
"GPPL0812023";"BERÁNTÓ KÍNAI FŰNYÍRÓ NAC DY 164 PMB";"2039.370078740157";"2590"
"GPPL0812039";"BERÁNTÓ KÍNAI FŰNYÍRÓ NAC LP40-300-PL-DE, MEX40-350, LP3390, GAMA";"2748.031496062992";"3490"
"GPPL0812021";"BERÁNTÓ KÍNAI FŰNYÍRÓ NAC NGP T375";"1960.629921259843";"2490"
"GPPL0812045";"BERÁNTÓ KÍNAI FŰNYÍRÓ VEGA";"3456.692913385827";"4390"
"GPPL0812038";"BERÁNTÓ KÍNAI FŰNYÍRÓK NAC TT-BC520-2, BP427-17KA-T";"2039.370078740157";"2590"
"GPPL0812003";"BERÁNTÓ KOMPLETT LÁNCFŰRÉSZ KÍNAI 25CC";"1724.409448818898";"2190"
"GPPL0812028";"BERÁNTÓ KOMPLETT LÁNCFŰRÉSZ KÍNAI 38CC";"1094.488188976378";"1390"
"GPPL0812044";"BERÁNTÓ KOMPLETT LÁNCFŰRÉSZ KÍNAI 45CC 52CC 58CC ALUMÍNIUM ERŐSEBB";"2511.811023622047";"3190"
"GPPL0812002";"BERÁNTÓ KOMPLETT LÁNCFŰRÉSZ KÍNAI NAC SPS 01-52 SPS 02-45 FLO";"2039.370078740157";"2590"
"GPPL0812031";"BERÁNTÓ KOMPLETT PUHA START KÍNAI FŰKASZÁK 45CC 52CC 58CC";"1724.409448818898";"2190"
"GPPL0804013";"BERÁNTÓ KOMPLETT STIHL FS120, FS200, FS250 - utángyártott";"3614.173228346457";"4590"
"GPPL0802018";"BERÁNTÓ KÖRMÖK FÉM GÖMBÖLYŰ KOMPLETT HONDA GX - utángyártott";"700.7874015748031";"890"
"GPPL0802007";"BERÁNTÓ KÖRMÖK FÉM KOMPLETT HONDA GX240,GX270, GX340, GX390 - utángyártott";"700.7874015748031";"890"
"GPPL0802020";"BERÁNTÓ KÖRMÖK KOMPLETT FÉM GÖMBÖLYŰ HONDA GX240-GX390 - utángyártott";"1173.228346456693";"1490"
"GPPL0825003";"BERÁNTÓ KÖRMÖK KOMPLETT MTD THORX HONDA GXV140 GXV160 - utángyártott";"464.5669291338583";"590"
"GPPL0802002";"BERÁNTÓ KÖRMÖK MŰANYAG KOMPLETT HONDA GCX - utángyártott";"700.7874015748031";"890"
"GPPL0812012";"BERÁNTÓ KÖRÖM KÍNAI FŰKASZÁK 26CC 32CC";"307.0866141732283";"390"
"GPPL0812016";"BERÁNTÓ KÖRÖM KÍNAI FŰKASZÁK 43CC 52CC";"307.0866141732283";"390"
"GPPL0812027";"BERÁNTÓ KÖRÖM LÁNCFŰRÉSZ KÍNAI 45CC 52CC 58CC";"228.3464566929134";"290"
"GPPL0801002";"BERÁNTÓ KÖRÖM MŰANYAG BRIGGS&STRATTON - utángyártott";"228.3464566929134";"290"
"GPPL0813005";"BERÁNTÓ KÖRÖM OLEOMAC 233, 240, 335, 935, 938, 941, 942, 945, 946, 950, 951 - utángyártott";"307.0866141732283";"390"
"GPPL0812032";"BERÁNTÓ KÖRÖMMEL KÍNAI FŰKASZÁK KAWASAKI";"2118.110236220472";"2690"
"GPPL0806015";"BERÁNTÓ KÖTÉL 3,0MM X 225CM - utángyártott";"228.3464566929134";"290"
"GPPL0806016";"BERÁNTÓ KÖTÉL 3,5MM X 225CM - utángyártott";"228.3464566929134";"290"
"GPPL0806017";"BERÁNTÓ KÖTÉL 4,0MM X 225CM - utángyártott";"228.3464566929134";"290"
"GPPL0806004";"BERÁNTÓ KÖTÉLORSÓ 4,0MM X 100M - utángyártott";"3929.133858267716";"4990"
"GPPL0806005";"BERÁNTÓ KÖTÉLORSÓ 4,5MM X 100M - utángyártott";"5110.23622047244";"6490"
"GPPL0823004";"BERÁNTÓ KÖTELORSÓ DOLMAR 100, 102, 400, 401, 410 MAKITA DCS33, DCS400, DCS401, DCS410 - utángyártott";"1724.409448818898";"2190"
"GPPL0804003";"BERÁNTÓ KÖTÉLORSÓ STIHL 017, 018, 021, 023, 025 - utángyártott";"543.3070866141733";"690"
"GPPL0804017";"BERÁNTÓ KÖTÉLORSÓ STIHL 029, 034, 036, MS261, MS361 FARMERTEC - utángyártott";"1015.748031496063";"1290"
"GPPL0806012";"BERÁNTÓ KÖTÉLORSÓ2,5MM X 50M - utángyártott";"2275.590551181102";"2890"
"GPPL0806002";"BERÁNTÓ KÖTÉLORSÓ3,0MM X 100M - utángyártott";"3850.393700787401";"4890"
